condition_id,condition_name,condition_aliases,procedure_id,procedure_name,specialist,speciality_keyword,urgency,description
C001,Coronary Artery Disease,"Heart Blockage,Blocked Arteries,Angina,Chest Pain,Heart Disease,CAD,Ischemic Heart Disease",P001,Angioplasty,Interventional Cardiologist,Cardiology,High,"Narrowing or blockage of coronary arteries that supply blood to the heart muscle."
C002,Severe Coronary Artery Disease,"Multi-vessel Disease,Triple Vessel Disease,Left Main Disease,Complex CAD",P002,Bypass Surgery,Cardiac Surgeon,Cardiology,High,"Severe narrowing of multiple coronary arteries requiring surgical bypass rather than angioplasty."
C003,Knee Arthritis,"Knee Pain,Knee Degeneration,Osteoarthritis Knee,Knee OA,Knee Wear and Tear",P003,Knee Replacement,Orthopedic Surgeon,Orthopedics,Low,"Degeneration of cartilage in the knee joint causing pain, stiffness, and reduced mobility."
C004,Hip Arthritis,"Hip Pain,Hip Degeneration,Hip OA,Osteoarthritis Hip,Hip Fracture",P004,Hip Replacement,Orthopedic Surgeon,Orthopedics,Low,"Degeneration of the hip joint causing chronic pain and difficulty walking."
C005,Cataract,"Cloudy Vision,Blurry Vision,Eye Clouding,Lens Opacity,Poor Vision",P005,Cataract Surgery,Ophthalmologist,Ophthalmology,Low,"Clouding of the eye's natural lens causing blurred or dim vision."
C006,Appendicitis,"Appendix Pain,Abdominal Pain Right Side,Inflamed Appendix",P006,Appendectomy,General Surgeon,General Surgery,Emergency,"Inflammation of the appendix causing severe abdominal pain requiring emergency surgery."
C007,Kidney Failure,"Renal Failure,CKD,Chronic Kidney Disease,End Stage Renal Disease,ESRD,Kidney Disease",P007,Dialysis,Nephrologist,Nephrology,High,"Loss of kidney function requiring artificial filtration of blood through dialysis."
C008,Cancer,"Tumor,Malignancy,Carcinoma,Breast Cancer,Lung Cancer,Colon Cancer,Blood Cancer,Lymphoma",P008,Chemotherapy,Oncologist,Oncology,High,"Uncontrolled growth of abnormal cells that can invade and destroy normal body tissue."
C009,Spine Disorder,"Back Pain,Slipped Disc,Herniated Disc,Sciatica,Spinal Stenosis,Spondylosis,Disc Prolapse",P009,Spine Surgery,Spine Surgeon,Neurology,Medium,"Conditions affecting the spine including disc herniation, stenosis, and degenerative changes."
C010,Organ Failure,"Kidney Transplant,Liver Failure,Heart Failure,Transplant,Liver Transplant,Heart Transplant",P010,Organ Transplant,Transplant Surgeon,Transplant,High,"Failure of a vital organ requiring transplantation from a donor."
C011,Heart Attack,"Myocardial Infarction,MI,Cardiac Arrest,Acute Coronary Syndrome,Heart Failure,ACS",P001,Angioplasty,Interventional Cardiologist,Cardiology,Emergency,"Blockage of blood flow to part of the heart muscle causing tissue damage."
C012,Arrhythmia,"Irregular Heartbeat,Atrial Fibrillation,AF,AFib,Heart Palpitations,Tachycardia",P011,Cardiac Catheterization,Cardiologist,Cardiology,Medium,"Irregular heart rhythm that may be too fast, too slow, or erratic."
C013,Glaucoma,"Eye Pressure,Optic Nerve Damage,Eye Disease,Vision Loss",P005,Cataract Surgery,Ophthalmologist,Ophthalmology,Medium,"Damage to the optic nerve often caused by abnormally high pressure in the eye."
C014,Fracture,"Broken Bone,Bone Fracture,Hip Fracture,Knee Fracture",P004,Hip Replacement,Orthopedic Surgeon,Orthopedics,High,"Break in the continuity of a bone requiring surgical intervention."
C015,Hernia,"Inguinal Hernia,Abdominal Hernia,Hiatal Hernia,Hernia Repair",P006,Appendectomy,General Surgeon,General Surgery,Medium,"Protrusion of an organ or tissue through a weak spot in surrounding muscle or connective tissue."
